id,acronym,name,organization,organization_group,event_type,topics,categories,location,mode,edition,indexing,event_start,event_end,abstract_due,paper_due,notification,camera_ready,first_deadline,first_gate,deadline_timezone,confidence,source_basis,source_url,previous_cycle_edition,previous_cycle_closed
pytorch-day-japan-2026,PyTorch Day Japan,PyTorch Day Japan 2026,PyTorch Foundation / Linux Foundation,Linux Foundation,Open-source meetup,Open source AI|ML systems,Systems & cloud|AI & machine learning|Open source & community,"Tokyo, Japan",In person,2026,,2026-12-10,2026-12-10,,2026-09-27,2026-10-13,,2026-09-27,Paper,See source,verified,Primary venue page,https://events.linuxfoundation.org/pytorch-day-japan/program/cfp/,,
middleware-industry-2026,Middleware Industry,ACM/IFIP Middleware 2026 Industry Track,ACM,ACM,Academic conference,Distributed systems,Systems & cloud,"Tarragona, Spain",In person,2026,"ACM DL, DBLP, Scopus",2026-12-14,2026-12-18,,2026-09-28,2026-10-04,2026-10-16,2026-09-28,Paper,See source,verified,Primary venue page,https://middleware-conf.github.io/2026/calls/call-for-industry-papers/,,
apache-doris-summit-2026,Apache Doris Summit,Apache Doris Summit 2026,Apache Doris community / VeloDB,Other,Summit,Real-time analytics database,Data & databases,Online,Online,2026,,2026-10-21,2026-10-22,,2026-09-29,,,2026-09-29,Paper,PDT,verified,Primary venue page,https://sessionize.com/apache-doris-summit-2026/,,
icaart-2027,ICAART,International Conference on Agents and Artificial Intelligence,SCITEPRESS,SCITEPRESS,Academic conference,Agents|AI,AI & machine learning,"Valletta, Malta",In person,2027,"Scopus, DBLP",2027-02-23,2027-02-25,,2026-09-29,2026-11-13,,2026-09-29,Paper,AoE,verified,Primary venue page,https://icaart.scitevents.org/ImportantDates.aspx,,
aistats-2027,AISTATS,International Conference on Artificial Intelligence and Statistics,PMLR,Other,Academic conference,Machine Learning,AI & machine learning,"Montreal, Canada",In person,2027,"Scopus, DBLP, Scholar",2027-05-03,2027-05-06,2026-09-29,2026-10-06,2027-01-20,,2026-09-29,Abstract,See source,verified,Primary venue page,https://virtual.aistats.org/Conferences/2027/CallForPapers,,
grivapp-2027,GRIVAPP,"International Conference on Computer Graphics, Interaction, Visualization Theory and Applications",SCITEPRESS,SCITEPRESS,Academic conference,Graphics|Visualization,"Graphics, vision & XR","Valletta, Malta",In person,2027,"Scopus, DBLP",2027-02-26,2027-02-28,,2026-09-29,2026-11-13,,2026-09-29,Paper,AoE,verified,Primary venue page,https://grivapp.scitevents.org/ImportantDates.aspx,,
icissp-2027,ICISSP,International Conference on Information Systems Security and Privacy,SCITEPRESS,SCITEPRESS,Academic conference,Security|Privacy,Systems & cloud|Security & privacy,"Valletta, Malta",In person,2027,"Scopus, DBLP",2027-02-22,2027-02-24,,2026-09-29,2026-11-13,,2026-09-29,Paper,AoE,verified,Primary venue page,https://icissp.scitevents.org/ImportantDates.aspx,,
icores-2027,ICORES,International Conference on Operations Research and Enterprise Systems (SCITEPRESS),SCITEPRESS,SCITEPRESS,Academic conference,Operations Research,Systems & cloud,"Valletta, Malta",In person,2027,"Scopus, DBLP",2027-02-20,2027-02-22,,2026-09-29,2026-11-13,2026-11-27,2026-09-29,Paper,AoE,verified,Primary venue page,https://icores.scitevents.org/ImportantDates.aspx,,
icpram-2027,ICPRAM,International Conference on Pattern Recognition Applications and Methods (SCITEPRESS),SCITEPRESS,SCITEPRESS,Academic conference,Pattern Recognition,Other,"Valletta, Malta",In person,2027,"Scopus, DBLP",2027-02-20,2027-02-22,,2026-09-29,2026-11-13,2026-11-27,2026-09-29,Paper,AoE,verified,Primary venue page,https://icpram.scitevents.org/ImportantDates.aspx,,
middleware-demos-posters-2026,Middleware Demos/Posters,ACM/IFIP Middleware 2026 Demos and Posters,ACM,ACM,Academic conference,Distributed systems,Systems & cloud,"Tarragona, Spain",In person,2026,"ACM DL, DBLP, Scopus",2026-12-14,2026-12-18,,2026-09-30,2026-10-15,2026-10-30,2026-09-30,Paper,See source,verified,Primary venue page,https://middleware-conf.github.io/2026/calls/call-for-demos-and-posters/,,
btw-industry-2027,BTW Industry,BTW 2027 Industry Track,GI Lecture Notes in Informatics (LNI),Other,Academic conference,Databases,Data & databases,"Munich, Germany",In person,2027,DBLP,2027-03-15,2027-03-19,,2026-09-30,,,2026-09-30,Paper,See source,verified,Primary venue page,https://btw2027.gi.de/calls/industry,,
dcf-trends-2027,DCF Trends,Data Center Frontier Trends Summit 2027,Endeavor Business Media (Data Center Frontier),Other,Summit,Data centre|AI infrastructure,Data & databases|AI & machine learning,"Glendale, AZ, USA",In person,2027,,2027-05-05,2027-05-07,,2026-09-30,,,2026-09-30,Paper,See source,verified,Primary venue page,https://www.dcftrends.com/2027/cfs,,
gids-2027,GIDS,Great International Developer Summit 2027,Saltmarch Media,Other,Summit,Architecture|distributed systems|data|platform,Data & databases|Systems & cloud|Architecture & hardware,"Bengaluru, India",In person,2027,,2027-04-27,2027-04-30,,2026-09-30,,,2026-09-30,Paper,See source,verified,Primary venue page,https://form.jotform.com/saltmarch/gids2027cfp,,
bdcloud-2026-16th,BDCloud,IEEE International Conference on Big Data and Cloud Computing,IEEE,IEEE,Academic conference,Big data|cloud,Data & databases|Systems & cloud,"Kuala Lumpur, Malaysia",In person,2026 (16th),"IEEE Xplore, Scopus, DBLP, EI",2026-12-27,2026-12-30,,2026-09-30,2026-10-30,2026-11-30,2026-09-30,Paper,See source,verified,Primary venue page,https://ieee-ai-for-science.org/2026/bdcloud/index.php,,
bigcomp-2027-14th,BigComp,IEEE International Conference on Big Data and Smart Computing,IEEE (co-sponsored by KIISE),IEEE,Academic conference,Big data|data engineering,Data & databases,"Fukuoka, Japan",In person,2027 (14th),"IEEE Xplore, Scopus, DBLP, EI",2027-01-25,2027-01-28,,2026-09-30,2026-11-30,,2026-09-30,Paper,See source,verified,Primary venue page,https://bigcomp2027-website.pages.dev/,,
ispa-2026-24th,ISPA,IEEE International Symposium on Parallel and Distributed Processing with Applications,IEEE,IEEE,Academic conference,Parallel and distributed systems,Systems & cloud,"Kuala Lumpur, Malaysia",In person,2026 (24th),"IEEE Xplore, Scopus, DBLP, EI",2026-12-27,2026-12-30,,2026-09-30,2026-10-30,2026-11-30,2026-09-30,Paper,See source,verified,Primary venue page,https://ieee-ai-for-science.org/2026/ispa/index.php,,
mid4cc-4th-2026,Mid4CC,Intl Workshop on Middleware for the Computing Continuum (at Middleware 2026),ACM,ACM,Academic conference,Cloud|edge,Systems & cloud,"Tarragona, Spain",In person,4th (2026),"ACM DL, DBLP, Scopus",2026-12-14,2026-12-18,,2026-09-30,2026-11-01,2026-11-15,2026-09-30,Paper,See source,verified,Primary venue page,https://mid4cc.netsons.org/2026/index.html,,
sca-2027,SCA,SupercomputingAsia 2027,ACM ICPS style (ACM Proceedings format),ACM,Academic conference,HPC,Systems & cloud,Singapore,In person,2027,,2027-03-01,2027-03-04,2026-09-30,2026-10-07,2026-11-20,2026-12-15,2026-09-30,Abstract,See source,verified,Primary venue page,https://www.sc-asia.org/sca2027-call-for-papers/,,
fabric-february-2027,Fabric February,Fabric February 2027,Fabric February (Norwegian community),Other,Open-source meetup,Microsoft Fabric|lakehouse|real-time intelligence,Data & databases|Open source & community,"Oslo, Norway",In person,2027,,2027-02-02,2027-02-04,,2026-10-01,2026-10-15,,2026-10-01,Paper,See source,verified,Primary venue page,https://sessionize.com/fabric-february-2027/,,
hipc-posters-2026-33rd,HiPC Posters,IEEE HiPC 2026 Poster Track,IEEE,IEEE,Academic conference,HPC|data analytics,Data & databases|Systems & cloud,"Bengaluru, India",In person,2026 (33rd),IEEE Xplore,2026-12-16,2026-12-19,,2026-10-01,2026-11-06,2026-11-13,2026-10-01,Paper,See source,verified,Primary venue page,https://hipc.org/call-for-posters/,,
ipdps-2027,IPDPS,IEEE International Parallel and Distributed Processing Symposium,IEEE,IEEE,Academic conference,Parallel Computing,Systems & cloud,"Seattle, WA, USA",In person,2027,"Scopus, IEEE Xplore, Scholar",2027-06-01,2027-06-05,2026-10-01,2026-10-08,2027-02-02,,2026-10-01,Abstract,See source,verified,Primary venue page,https://www.ipdps.org/ipdps2027/2027-call-for-papers.html,,
bpod-2026,BPOD,"IEEE Workshop on Benchmarking, Performance Tuning and Optimization for Big Data Analytics and Big Models (at IEEE BigData)",IEEE Computer Society (IEEE BigData 2026 proceedings),IEEE,Academic conference,Performance engineering|big data,Data & databases|Systems & cloud,"Phoenix, AZ, USA",In person,2026,"IEEE Xplore, Scopus, DBLP, EI",2026-12-14,2026-12-17,,2026-10-01,2026-11-04,2026-11-25,2026-10-01,Paper,See source,verified,Primary venue page,https://bdal.umbc.edu/bpod/bpod-2026/,,
aamas-2027,AAMAS,International Conference on Autonomous Agents and Multiagent Systems,IFAAMAS,Other,Academic conference,Agents,Systems & cloud|AI & machine learning,"Hanoi, Vietnam",In person,2027,"Scopus, DBLP, Scholar",2027-05-03,2027-05-07,2026-10-01,2026-10-08,2026-12-21,2027-01-25,2026-10-01,Abstract,AoE,verified,Primary venue page,https://warwick.ac.uk/fac/sci/dcs/aamas2027/calls/call-for-main-track/,,
jfokus-2027,Jfokus,Jfokus 2027,Javaforum Stockholm,Other,Industry conference,JVM|cloud|general developer,Systems & cloud,"Stockholm, Sweden",In person,2027,,2027-02-08,2027-02-10,,2026-10-01,,,2026-10-01,Paper,See source,verified,Primary venue page,https://sessionize.com/jfokus-2027/,,
mind-2nd-2026,MIND,Next-Gen Middleware for MLOps in Distributed Systems (at Middleware 2026),ACM,ACM,Academic conference,ML systems|MLOps,Systems & cloud|AI & machine learning,"Tarragona, Spain",In person,2nd (2026),"ACM DL, DBLP, Scopus",2026-12-14,2026-12-18,,2026-10-01,2026-10-12,2026-10-16,2026-10-01,Paper,See source,verified,Primary venue page,https://mindmlops.github.io/,,
woais-2nd-2026,WoAIS,Workshop on AI and Serverless (at Middleware 2026),ACM,ACM,Academic conference,Agentic AI|serverless,Systems & cloud|AI & machine learning,"Tarragona, Spain",In person,2nd (2026),"ACM DL, DBLP, Scopus",2026-12-14,2026-12-18,,2026-10-01,2026-10-12,2026-10-16,2026-10-01,Paper,See source,verified,Primary venue page,https://www.serverlesscomputing.org/woais2/cfp/,,
extremedatacuration-2026,ExtremeDataCuration,"Workshop on Curation and Contextualization of Extreme Datasets (CCED, at IEEE BigData)",IEEE Computer Society (IEEE BigData 2026 proceedings),IEEE,Academic conference,Data management at scale,Data & databases,"Phoenix, AZ, USA",In person,2026,"IEEE Xplore, Scopus, DBLP, EI",2026-12-14,2026-12-17,,2026-10-01,2026-11-04,2026-11-25,2026-10-01,Paper,See source,verified,Primary venue page,https://extremedatacurationworkshop.github.io/,,
fse-2027,FSE,ACM International Conference on the Foundations of Software Engineering,ACM,ACM,Academic conference,Software Engineering,Software engineering,"Shenzhen, China",In person,2027,"Scopus, DBLP, Scholar",2027-07-12,2027-07-16,,2026-10-02,2027-01-22,,2026-10-02,Paper,See source,verified,Primary venue page,https://conf.researchr.org/dates/fse-2027,,
sigmetrics-2027,SIGMETRICS,ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems,ACM,ACM,Academic conference,Performance,Systems & cloud,"Atlanta, GA, USA (FCRC)",In person,2027,"Scopus, DBLP, Scholar",2027-06-07,2027-06-11,2026-10-02,2026-10-09,2026-12-09,,2026-10-02,Abstract,AoE,verified,Primary venue page,https://www.sigmetrics.org/sigmetrics2027/,,
sac-42nd-2027,SAC,ACM/SIGAPP Symposium on Applied Computing,ACM,ACM,Academic conference,"Multi-track (DBDM, Data Streams, Cloud Continuum, DADS, OSSP, SEAI)",Data & databases|Systems & cloud,"Gwangju, South Korea",In person,42nd (2027),"ACM DL, DBLP, Scopus",2027-04-05,2027-04-09,,2026-10-02,2026-11-13,2026-11-28,2026-10-02,Paper,See source,verified,Primary venue page,https://www.sigapp.org/sac/sac2027/,,
dcc-2027,DCC,IEEE Data Compression Conference,IEEE,IEEE,Academic conference,Data Compression,Data & databases,"Snowbird, UT, USA",In person,2027,"Scopus, IEEE Xplore, Scholar",2027-03-23,2027-03-26,,2026-10-02,,,2026-10-02,Paper,See source,verified,Primary venue page,https://datacompressionconference.org/call-for-papers/,,
dcd-austria-2027,DCD Austria,Data Community Day Austria 2027,Data Community Austria,Other,Open-source meetup,Microsoft data platform (community day),Data & databases|Open source & community,"Vienna, Austria",In person,2027,,2027-01-18,2027-01-18,,2026-10-04,,,2026-10-04,Paper,See source,verified,Primary venue page,https://sessionize.com/data-community-day-austria-2027/,,
federated-hpc-2026,Federated HPC,International Workshop on Privacy-Preserving and Collaborative High-Performance Computing (at HiPC),IEEE (HiPCW 2026 workshop proceedings),IEEE,Academic conference,HPC|privacy,Systems & cloud|Security & privacy,"Bengaluru, India",In person,2026,IEEE Xplore,2026-12-16,2026-12-16,,2026-10-04,2026-11-01,2026-11-09,2026-10-04,Paper,See source,verified,Primary venue page,https://hpc-tai.github.io/FederatedHPC/,,
platformcon-live-sf-2027,PlatformCon Live SF,PlatformCon Live Day San Francisco 2027,Platform Engineering (Humanitec),Other,Industry conference,Platform engineering,Other,"San Francisco, CA, USA",In person,2027,,2027-02-24,2027-02-24,,2026-10-04,2026-10-20,,2026-10-04,Paper,See source,verified,Primary venue page,https://sessionize.com/platformcon-live-day-san-francisco,,
sql-konferenz-2027,SQL Konferenz,SQL Konferenz 2027,Datamonster / PASS Deutschland,Other,Industry conference,Microsoft data platform,Data & databases,"Hanau am Main, Germany",In person,2027,,2027-02-22,2027-02-24,,2026-10-04,,,2026-10-04,Paper,See source,verified,Primary venue page,https://sessionize.com/sql-konferenz-2027,,
conf42-plateng-2026,Conf42 PlatEng,Conf42 Platform Engineering 2026,Conf42,Other,Industry conference,Platform engineering (online),Other,Online,Online,2026,,2026-11-05,2026-11-05,,2026-10-05,,,2026-10-05,Paper,See source,verified,Primary venue page,https://www.papercall.io/conf42-platform-engineering-2026,,
edbt-2027,EDBT,International Conference on Extending Database Technology,OpenProceedings,Other,Academic conference,Databases,Data & databases,"Lille, France",In person,2027,"Scopus, DBLP, Scholar",2027-04-06,2027-04-09,,2026-10-07,2026-12-05,2027-01-27,2026-10-07,Paper,See source,announced,Published via a secondary index,https://edbticdt2027.github.io/,,
isc-workshops-2027,ISC Workshops,"ISC High Performance 2027 - workshop programme (proposals now, workshop papers in spring)",ISC Group; workshop papers in Future Generation Computer Systems (Elsevier) per ISC 2027 page,Other,Academic conference,HPC,Systems & cloud,"Hamburg, Germany",In person,2027,,,,,2026-10-07,2026-11-30,,2026-10-07,Paper,See source,verified,Primary venue page,https://isc-hpc.com/submissions/workshop/,,
dcw-2027,DCW,Data Center World 2027,Informa (AFCOM),Other,Industry conference,Data centre|AI infrastructure,Data & databases|AI & machine learning,"Nashville, TN, USA (Music City Center)",In person,2027,,2027-05-24,2027-05-27,,2026-10-09,,,2026-10-09,Paper,See source,verified,Primary venue page,https://www.datacenterworld.com/,,
hcii-hcii-2027-29th,HCII,HCI International (incl. VAMR and HCI-CPT affiliated conferences),Springer LNCS/LNAI,Springer,Academic conference,HCI|XR|usable privacy,"Security & privacy|Graphics, vision & XR|HCI","Berlin, Germany (hybrid)",Hybrid,HCII 2027 (29th),"Scopus, DBLP, EI",2027-07-25,2027-07-30,2026-10-09,2026-10-09,2026-11-20,2027-01-29,2026-10-09,Abstract,See source,verified,Primary venue page,https://2027.hci.international/papers.html,,
iclr-workshops-2027,ICLR Workshops,"ICLR 2027 Workshops (proposal call, then per-workshop paper calls)",OpenReview (non-archival mostly),OpenReview,Academic conference,ML,AI & machine learning,"San Francisco, CA, USA",In person,2027,,2027-04-29,2027-04-30,2026-10-09,2027-02-01,2027-02-26,,2026-10-09,Abstract,AoE,verified,Primary venue page,https://iclr.cc/Conferences/2027/CallForWorkshops,,
gtc-2027,GTC,NVIDIA GTC,NVIDIA,Other,Industry conference,AI Infrastructure,AI & machine learning,"San Jose, CA, USA",In person,2027,,2027-03-15,2027-03-18,,2026-10-09,,,2026-10-09,Paper,See source,verified,Primary venue page,https://www.nvidia.com/gtc/call-for-submissions/,,
ai-spc-2026,AI-SPC,Workshop on AI for Scientific and General-Purpose Computing (at HiPC),IEEE (HiPCW 2026 workshop proceedings),IEEE,Academic conference,HPC + AI,Systems & cloud|AI & machine learning,"Bengaluru, India",In person,2026,IEEE Xplore,2026-12-16,2026-12-16,,2026-10-09,2026-11-01,,2026-10-09,Paper,See source,verified,Primary venue page,https://aispc.github.io/,,
sigmod-2027,SIGMOD,ACM SIGMOD International Conference on Management of Data,ACM,ACM,Academic conference,Databases,Data & databases,"Huntington Beach, CA, USA",In person,2027,"Scopus, DBLP, Scholar",2027-06-13,2027-06-19,2026-10-10,2026-10-17,,,2026-10-10,Abstract,AoE,verified,Primary venue page,https://2027.sigmod.org/,,
se4agenticai-2026,SE4AgenticAI,IEEE Big Data International Workshop on Software Engineering for Agentic AI,IEEE Computer Society (IEEE BigData 2026 proceedings),IEEE,Academic conference,SE for AI|agentic systems,Data & databases|Systems & cloud|AI & machine learning|Software engineering,"Phoenix, AZ, USA",In person,2026,"IEEE Xplore, Scopus, DBLP, EI",2026-12-14,2026-12-17,,2026-10-10,2026-10-31,2026-11-14,2026-10-10,Paper,See source,verified,Primary venue page,https://cs.uwaterloo.ca/~palencar/se4agenticai/,,
aixdke-2027,AIxDKE,IEEE International Conference on AI x Data and Knowledge Engineering (formerly AIKE),IEEE,IEEE,Academic conference,Data and knowledge engineering,Data & databases|AI & machine learning,"Laguna Hills, CA, USA (hybrid)",Hybrid,2027,"IEEE Xplore, Scopus, DBLP, EI",2027-02-01,2027-02-03,,2026-10-10,2026-12-01,2026-12-31,2026-10-10,Paper,See source,verified,Primary venue page,https://www.aixdke.org/dates,,
sreday-nyc-2026-q4,SREday NYC,SREday NYC 2026 Q4,SREday,Other,Industry conference,SRE|observability|cloud,Systems & cloud|Software engineering,"New York, NY, USA (Datadog office)",In person,2026 Q4,,2026-11-07,2026-11-07,,2026-10-10,,,2026-10-10,Paper,See source,verified,Primary venue page,https://cfp.ninja/e/sreday-2026-nyc-q4,,
kubecon-eu-2027,KubeCon EU,KubeCon + CloudNativeCon Europe,Linux Fdn/CNCF,Other,Open-source meetup,Cloud Native,Systems & cloud|Open source & community,"Barcelona, Spain",In person,2027,,2027-03-15,2027-03-18,,2026-10-11,2026-12-07,,2026-10-11,Paper,CEST,verified,Primary venue page,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/cfp/,,
naacl-2027,NAACL,Annual Conference of the North American Chapter of the ACL,ACL,Other,Academic conference,NLP|LLM,AI & machine learning,"San Francisco, CA, USA",In person,2027,"Scopus, DBLP, Scholar",2027-06-01,2027-06-05,,2026-10-12,2027-02-10,,2026-10-12,Paper,UTC-12,verified,Primary venue page,https://2027.naacl.org/calls/main_conference_papers/,,
icde-industry-2027,ICDE Industry,ICDE 2027 Industry and Applications Track,IEEE,IEEE,Academic conference,Databases|data engineering,Data & databases,"Copenhagen, Denmark",In person,2027,Scopus/DBLP/EI,2027-05-17,2027-05-21,,2026-10-13,,,2026-10-13,Paper,See source,projected,Historical cadence projection,https://icde2027.github.io/important-dates.html,,
oopsla-2027,OOPSLA,"ACM SIGPLAN Conference on Object-Oriented Programming, Systems, Languages and Applications",ACM,ACM,Academic conference,Programming Languages,Systems & cloud|Programming languages,"Prague, Czechia (SPLASH)",In person,2027,"Scopus, DBLP, Scholar",2027-10-10,2027-10-15,,2026-10-14,2026-12-18,,2026-10-14,Paper,AoE,verified,Primary venue page,https://2027.splashcon.org/track/splashoopsla2027,,
csf-csf-2027-40th,CSF,IEEE Computer Security Foundations Symposium,IEEE,IEEE,Academic conference,Security foundations,Security & privacy,"Tokyo, Japan",In person,CSF 2027 (40th),"IEEE Xplore, DBLP",2027-09-13,2027-09-17,,2026-10-15,2026-12-14,,2026-10-15,Paper,See source,verified,Primary venue page,https://www.ieee-security.org/TC/CSF2027/,,
pgconf-india-2027,PGConf India,PGConf India 2027,PGConf India / Indian PostgreSQL User Group,Other,Open-source meetup,PostgreSQL,Open source & community,"Bengaluru, India",In person,2027,,2027-03-02,2027-03-05,,2026-10-15,2026-11-15,,2026-10-15,Paper,See source,verified,Primary venue page,https://www.postgresql.org/about/news/pgconf-india-2027-dates-announced-and-cfp-open-3370/,,
wsdm-demo-2027,WSDM Demo,WSDM 2027 Demonstrations Track,ACM,ACM,Academic conference,Data mining|search,Data & databases,Hong Kong,In person,2027,"ACM DL, DBLP, Scopus",2027-02-15,2027-02-19,,2026-10-15,2026-11-21,2026-12-16,2026-10-15,Paper,See source,verified,Primary venue page,https://wsdm-conference.org/2027/cfdemo.html,,
aaai-bridge-2027,AAAI Bridge,AAAI-27 Bridge Program,AAAI,Other,Academic conference,AI,AI & machine learning,"Montreal, Canada",In person,2027,,2027-02-16,2027-02-17,2026-10-16,2026-12-01,2026-12-13,,2026-10-16,Abstract,See source,verified,Primary venue page,https://aaai.org/conference/aaai/aaai-27/bridge-program-call-for-proposals/,,
thewebconf-2027,TheWebConf,ACM Web Conference (formerly WWW),ACM,ACM,Academic conference,Web|IR,Other,"Dublin, Ireland",In person,2027,"Scopus, DBLP, Scholar",2027-05-10,2027-05-14,2026-10-18,2026-10-25,2027-01-04,2027-01-31,2026-10-18,Abstract,AoE,verified,Primary venue page,https://www2027.thewebconf.org/important-dates/,,
agentics-day-eu-2027,Agentics Day EU,Agentics Day: MCP + Agents Europe 2027 (KubeCon EU co-located),Linux Foundation / CNCF,Linux Foundation,Open-source meetup,Agentic AI|MCP,AI & machine learning|Open source & community,"Barcelona, Spain",In person,2027,,2027-03-15,2027-03-15,,2026-10-18,,,2026-10-18,Paper,See source,verified,Primary venue page,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/agentics-day-mcp-agents/,,
cnai-inference-day-eu-2027,CNAI+Inference Day EU,Cloud Native AI + Inference Day Europe 2027 (KubeCon EU co-located),Linux Foundation / CNCF,Linux Foundation,Open-source meetup,AI infrastructure on Kubernetes,Systems & cloud|AI & machine learning|Open source & community,"Barcelona, Spain",In person,2027,,2027-03-15,2027-03-15,,2026-10-18,,,2026-10-18,Paper,See source,verified,Primary venue page,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cloud-native-ai-inference-day-europe/,,
kubecon-eu-co-located-2027,KubeCon EU Co-located,"CNCF-hosted Co-located Events at KubeCon + CloudNativeCon Europe 2027 (Cloud Native AI + Inference Day, Observability Day, Agentics Day, Platform Engineering Day...)",Linux Foundation / CNCF,Linux Foundation,Open-source meetup,Cloud native|AI infrastructure,Systems & cloud|AI & machine learning|Software engineering|Open source & community,"Barcelona, Spain",In person,2027,,2027-03-15,2027-03-15,,2026-10-18,2026-12-14,,2026-10-18,Paper,See source,verified,Primary venue page,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/cfp-colocated-events/,,
observability-day-eu-2027,Observability Day EU,Observability Day Europe 2027 (KubeCon EU co-located),Linux Foundation / CNCF,Linux Foundation,Open-source meetup,Observability|telemetry,Software engineering|Open source & community,"Barcelona, Spain",In person,2027,,2027-03-15,2027-03-15,,2026-10-18,,,2026-10-18,Paper,See source,verified,Primary venue page,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/co-located-events/observability-day/,,
